title,date,paragraph
Israel-E.U. Meeting on Gaza’s Future Yields Division and Confusion,2024-01-23T01:00:15+0000,"European foreign ministers pressed their Israeli counterpart on Monday to agree to the creation of a Palestinian state, in a meeting that left European diplomats bewildered about postwar Israeli plans for the Gaza Strip and reinforced the deep disconnect between Israel and much of the world."
"Accused of Running a ‘Basement’ Campaign, Nikki Haley Takes Questions",2024-01-18T22:29:18+0000,"Nikki Haley, battling attacks from Donald J. Trump that she is too liberal and accusations from Ron DeSantis that she has been hiding from voters and reporters, hit back on Thursday, taking questions and defending her conservative credentials."
"Vibes, Vegetables and Vitriol",2024-02-27T20:25:44+0000,"Whenever I write about falling inflation, I get a lot of comments and mail to the effect that grocery prices have doubled under President Biden and are still soaring. So a few days ago, first on social media and then in a blog post, I pointed out that they haven’t and aren’t. Here’s what the data from the Bureau of Labor Statistics looks like:"
Trump and His Allies Adapt to a New Role: Fighting for Attention,2024-07-25T09:03:38+0000,"Follow the latest news about the 2024 election, and the Trump and Harris campaigns."
Stephen Colbert Scoffs at Supreme Court’s Ruling on Trump,2024-03-05T08:55:00+0000,"Welcome to Best of Late Night, a rundown of the previous night’s highlights that lets you sleep — and lets us get paid to watch comedy. Here are the 50 best movies on Netflix right now."
Taiwan’s Doubts About America Are Growing. That Could Be Dangerous.,2024-01-20T10:04:34+0000,"The collection of American memorabilia, vast and well-lit in a busy area of City Hall in the southern Taiwanese city of Tainan, reflected decades of eager courtship. Maps highlighted sister cities in Ohio and Arizona."
"‘This Helps Netanyahu’: Israelis Rally Around Leader Over Warrant, for Now",2024-11-22T10:27:01+0000,"The more Prime Minister Benjamin Netanyahu of Israel is cast as an international pariah, the more many Israelis appear to embrace him."
Biden Uses NATO Summit to Assail Trump on Foreign Policy,2024-07-12T04:21:08+0000,"President Biden used the closing of the NATO summit to issue a blistering attack on Donald J. Trump’s rejection of the value of alliances, and he declared for the first time that he had developed a strategy to interrupt the growing military and technological relationship between Russia and China."
Outrage Over Slain Aid Workers Deepens Democratic Resistance to Arming Israel,2024-04-05T17:21:33+0000,Outrage over a strike by the Israeli military that killed seven aid workers in Gaza has supercharged resistance among congressional Democrats to sending arms and fresh military funding to Israel.
"Biden, Seeking to Build on Fruitful Week, Announces Billions in Chip Grants",2024-04-25T09:07:35+0000,"President Biden, building on a week of favorable political developments, celebrated a $6.1 billion grant to Micron Technology on Thursday, saying it would help the United States become less reliant on Asian countries by bolstering the nation’s supply of semiconductors."
Israel and Hezbollah Trade Cross-Border Strikes,2024-08-21T22:00:14+0000,"Israeli forces and Hezbollah militants in Lebanon traded cross-border strikes on Wednesday, fueling concerns about a wider regional conflagration as negotiators struggle to broker a cease-fire in the Gaza Strip."
There Were Two Huge Problems Harris Could Not Escape,2024-11-10T11:00:36+0000,"Sarah Isgur, a longtime Republican campaign operative — and my friend and a senior editor at The Dispatch — has a brilliant sports analogy for the process of campaigning. She compares it to … curling."
"President Biden, You Have Leverage That Can Save Lives in Gaza. Please Use It.",2024-03-16T11:00:35+0000,"President Biden is sounding tougher toward Israel these days and showing more compassion for people starving in Gaza. “There are a lot of innocent people who are in trouble and dying,” Biden said. “And it’s got to stop.”"
Thursday Briefing: Israeli Troops Clashed with Hezbollah,2024-10-02T21:02:04+0000,"Israel and Hezbollah said their troops were fighting at close range in southern Lebanon, as Prime Minister Benjamin Netanyahu weighed a military response to Iran for firing ballistic missiles at Israel."
Government Moves to Thwart Guilty Plea Proceedings in Sept. 11 Case,2024-11-09T19:29:11+0000,"War court prosecutors are asking a military judge to refrain from taking guilty pleas from Khalid Shaikh Mohammed, who is accused of masterminding the Sept. 11 attacks, and from two men accused of conspiring with him until a higher court decides the validity of their plea agreements."
"Biden Taunts Trump, Calling Him a ‘Loser,’ Trying to Get Under His Skin",2024-04-26T19:07:28+0000,"This week, one presidential candidate has called the other a loser, made fun of him for selling Bibles, and even poked fun at his hair."
Saudi Arabia Pledges to Send Funding for Palestinians,2024-09-30T14:46:26+0000,"Saudi Arabia has pledged to send financial aid to the struggling Palestinian Authority, reversing a decision made during the Trump administration to slash funding to the governing body that administers some areas in the Israeli-occupied West Bank."
‘Is This Seriously the Best We Have?’: Readers Discuss the Debate,2024-06-29T11:00:27+0000,"Did Thursday’s debate change voters’ minds about who should be president? Did it sway the undecided? Times Opinion asked our columnists and contributors to weigh in on who won and lost Thursday night, and we’ve asked our readers to do the same."
"Republicans’ Electoral College Edge, Once Seen as Ironclad, Looks to Be Fading",2024-09-25T09:03:34+0000,Ever since Donald J. Trump’s stunning victory in 2016 — when he lost the popular vote by almost three million votes but still triumphed with over 300 electoral votes — many who follow politics have believed Republicans hold an intractable advantage in the Electoral College.
"Donald Trump, Blocking Out the Sun",2024-06-05T09:05:41+0000,"Frank Bruni, a contributing Opinion writer, hosted a written online conversation with Josh Barro, who writes the newsletter Very Serious, and Olivia Nuzzi, the Washington correspondent for New York magazine, to banter and bicker about the potential political fallout of Donald Trump’s conviction. Below is a lightly edited transcript of their conversation."
"In Rare Visit to White House Press Briefing, Biden Cautions Israel",2024-10-04T20:51:14+0000,"A day after President Biden said the United States was “in discussion” about the possibility that Israel might strike Iran’s vast oil fields, he suggested that Israel should consider alternative ways to retaliate against Iran."
When Debuts Flop: Katie Britt Is the Latest in a Long Line of Botched Opening Acts,2024-03-15T15:30:32+0000,"Senator Katie Britt, Republican of Alabama, had not finished delivering her breathless, overly dramatized and fact-challenged response to President Biden’s State of the Union address last week when the ridicule and criticism began pouring in from Republicans and Democrats alike."
Pelosi Wants F.B.I. to Investigate Pro-Palestinian Protesters,2024-01-28T23:40:18+0000,"Representative Nancy Pelosi, Democrat of California and the former House speaker, on Sunday called for the F.B.I. to investigate protesters demanding a cease-fire in the Israel-Hamas conflict, suggesting without evidence that some activists may have ties to Russia and President Vladimir V. Putin."
Nothing to See Here but Upgrades,2024-09-30T09:07:34+0000,"Gail Collins: Well, Bret, the mayor of New York is certainly in a ton of trouble. Any thoughts? I couldn’t help noticing that a lot of Eric Adams’s misdeeds seem to involve him getting cushy flights to places like Turkey and Sri Lanka. Remembering the scandal over Justice Clarence Thomas’s super-luxe flights in a plane belonging to a billionaire named Harlan Crow."
Donald Trump and American Justice,2024-04-17T09:02:22+0000,"The former and possibly future president of the United States is now on trial in Lower Manhattan, the first criminal prosecution of an American elected to the nation’s highest office. Donald Trump, who relentlessly undermined the justice system while in office and since, is enjoying the same protections and guarantees of fairness and due process before the law that he sought to deny to others during his term."
How Crypto Money Is Poised to Influence the Election,2024-06-17T16:00:18+0000,"Ryan Selkis, a cryptocurrency executive, was eating dinner at Mar-a-Lago last month when he got an unexpected invitation: Former President Donald J. Trump wanted him to come to the stage and say a few words."
Biden Says Gaza Shooting Will Complicate Israel-Hamas Cease-Fire Talks,2024-02-29T16:50:26+0000,"President Biden said on Thursday that while he was still learning details of the shooting that killed or wounded hundreds in northern Gaza, he thought the deaths could jeopardize efforts to reach a cease-fire agreement between Israel and Hamas."
$50 Billion in Aid to Ukraine Stalls Over Legal Questions,2024-09-17T14:49:29+0000,A long-awaited plan to help Ukraine rebuild using Russian money is in limbo as the United States and Europe struggle to agree on how to construct a $50 billion loan using Russia’s frozen central bank assets while complying with their own laws.
"Trump Hints at Iran Link to His 2 Assassination Attempts, Despite the Available Evidence",2024-09-25T23:50:41+0000,Former President Donald J. Trump on Wednesday suggested that Iran might have been behind the two assassination attempts against him even as officials have said there is no evidence to link those plots to Iranian threats.
The 2024 Stakes for Judges,2024-10-31T10:42:49+0000,"On Tuesday, Americans will elect the next president and hundreds of Congress members. In doing so, voters will also shape the third branch: the judiciary."
The Charges Against Mayor Adams,2024-09-27T09:02:56+0000,Good morning. It’s Friday. We’ll get details on the bribery and fraud charges that Mayor Eric Adams is facing.
Biden Addresses Gun-Control Group Hours After Son’s Firearms Conviction,2024-06-11T19:44:37+0000,President Biden told the nation’s largest gun-control group on Tuesday that he had secured extensive reforms on firearms safety but acknowledged that he had not achieved several of his priorities.
Biden Honors Veterans in Ceremony at Arlington Cemetery,2024-11-11T20:27:38+0000,"President Biden urged Americans to take a moment to honor those who serve in the military and their families on Monday, using the backdrop of Arlington National Cemetery to observe Veterans Day one last time as the country’s commander in chief."
U.S. Vetoes Palestinian Bid for Recognition as Full U.N. Member State,2024-04-18T21:35:13+0000,"The United States blocked the U.N. Security Council on Thursday from moving forward on a Palestinian bid to be recognized as a full member state at the United Nations, quashing an effort by Palestinian allies to get the world body to back the effort. "
Kimberly Guilfoyle’s Convention Sequel,2024-07-18T00:59:18+0000,"Four years ago, Kimberly Guilfoyle delivered a dark, high-decibel address to the Republican National Convention that made her the subject of derisive jokes from pundits and late-night comedians."
Harris Created a Huge Wave of Energy. How Long Can Democrats Ride It?,2024-07-31T09:04:55+0000,Everything is different now for Democrats.
"Peter Navarro, Trump Trade Adviser, Heads From Prison to Convention",2024-07-17T17:47:21+0000,"Peter Navarro, who led the U.S. Office of Trade and Manufacturing Policy under President Donald J. Trump, was released from prison on Wednesday — in time to fly to Milwaukee to speak at the Republican National Convention."
"Israel Averts All-Out War With Hezbollah, but Its Regional Conflicts Grind On",2024-08-26T08:57:19+0000,"After weeks of foreboding, an all-out war between Israel and Hezbollah has been averted, at least for now, as both sides returned on Monday to more contained confrontations along the Israel-Lebanon border."
"In a Season of Political Impressions, Why Does Dana Carvey’s Biden Stand Out?",2024-10-23T09:09:21+0000,"Everyone expected Maya Rudolph to appear as Vice President Kamala Harris in the season premiere of “Saturday Night Live.” It was less obvious who would play Harris’s running mate, Tim Walz. But when Jim Gaffigan walked onstage, face split in an open-mouthed grin like some kind of genial jack-o’-lantern, it was clear no one else should have bothered. Gaffigan’s entire comic persona is based in Walzian Big Dad Energy, even if he portrays himself as more likely to sit in his underwear eating Hot Pockets than climbing on the roof to clean out the gutters. There’s a harmony there, a vibe match."
Democrats Pass a N.Y. House Map That Modestly Benefits Them,2024-02-28T20:03:25+0000,"Democrats in New York adopted a new congressional map on Wednesday, using their supermajorities in the State Legislature to draw district lines that would improve their chances of winning the House majority in November, but not drastically."
Biden Urges Congress to Quickly Approve F-16 Sale to Turkey,2024-01-25T03:47:02+0000,"President Biden sent a letter to four senior members of Congress on Wednesday urging them to quickly approve a $20 billion sale of F-16 fighter jets to Turkey, following the vote one day earlier by Turkey’s Parliament to allow Sweden to join the North Atlantic Treaty Organization, according to three U.S. officials."
U.S. Conducts Retaliatory Strikes Against Iranian Proxies as War Deepens,2024-02-02T21:12:02+0000,"The United States on Friday carried out a series of military strikes against Iranian forces and the militias they support in seven sites in Syria and Iraq, marking a sharp escalation of the war in the Middle East that the Biden administration has for four months sought to avoid."
Democratic Delegates See Harris as the Strongest Candidate Against Trump,2024-07-23T20:17:30+0000,"Delegates to the Democratic National Convention support the party moving forward swiftly to nominate Kamala Harris as their presidential candidate, rather than going through a prolonged and potentially divisive debate, according to interviews conducted by The New York Times."
Your Guide to a Trump vs. Biden Debate,2024-06-27T09:02:58+0000,We don’t know exactly what will happen when  President Biden and former president Donald J. Trump take the debate stage in Atlanta tonight.
"Best, Worst and Most Awkward Lines at the Al Smith Dinner",2024-10-18T05:07:07+0000,The two people running for president in one of the most pivotal and divisive elections in American history both tried to be funny at a Catholic charity event on Thursday night.
The Case for Hope,2024-05-09T09:05:24+0000,"Mr. Kristof is the author of a new memoir, “Chasing Hope: A Reporter’s Life,” from which this essay is adapted."
Do Trump Fans Believe the Harris Hype? Not a Chance.,2024-08-11T09:04:41+0000,"Inside the sometimes upside-down world in which former President Donald J. Trump and his most passionate supporters commune, the current trajectory of the presidential race is totally fine. This has not been the worst three weeks of Mr. Trump’s campaign. Nothing to worry about."
"In Wilmington, They Like ‘Delaware Joe.’ But They’re Glad He Quit.",2024-07-23T12:22:25+0000,"As President Biden met with confidants last week to discuss whether he should end his re-election campaign, John Flaherty, a retired government employee, was seated in a booth at Angelo’s Luncheonette in Wilmington, Del., the small city that has been Mr. Biden’s political home base for more than 50 years."
3 Takeaways From Kamala Harris’s Interview on MSNBC,2024-09-26T01:28:59+0000,Follow live updates on the 2024 election here.
‘Don’t Kill My Child. Kill Me Instead.’,2024-09-28T11:00:31+0000,"Side by side with the worst of humanity, you regularly encounter the best. And so it was that while covering murder, rape and starvation in Sudan, I was awed by a heroic refugee, Naima Adam."
Just One Question for Trump and Vance: What Is Wrong With You People?,2024-07-25T14:21:25+0000,"Ever since President Biden’s Sunday announcement that he would not seek re-election, clearly because of age, I keep thinking about Donald Trump’s and JD Vance’s contemptuous reactions to one of the most difficult personal decisions a president has ever made, and what it says about their character."
"Inside the Trump-Harris Debate Prep: Method Acting, Insults, Tough Questions",2024-09-07T09:04:33+0000,"Vice President Kamala Harris is holed up for five days in a Pittsburgh hotel, doing highly choreographed debate practice sessions ahead of Tuesday night’s clash. There’s a stage and replica TV lighting and an adviser in full Lee Strasberg method-acting mode, not just playing Donald J. Trump but inhabiting him, wearing a boxy suit and a long tie."
What’s Stopping a Deal in Gaza?,2024-08-16T10:39:15+0000,"For weeks, the White House said the stars were aligned for a cease-fire agreement that would free the hostages held in Gaza. The framework of a deal first announced by President Biden has been in place since July. Since then, a phalanx of American officials has traveled frequently to the region, pushing Israel and Hamas to sign on. So far, they have failed."
Trial Will Test Trump’s Limits of Reaping Political Gain From Legal Woes,2024-02-16T10:07:00+0000,"For all their bluster, nobody in Donald J. Trump’s political inner circle actually thinks a criminal conviction will help him with the independent voters and suburban women who lost him the presidency in 2020."
‘This Could Well Be Game Over’,2024-03-06T10:03:39+0000,"While the Supreme Court ruling on Monday that states cannot bar Donald Trump from appearing on their presidential ballots garnered a lot of attention, the more politically consequential decision came on Feb. 28, when the court set a hearing on Trump’s claim of presidential immunity for the week of April 22."
The Dismissal of the Trump Classified Documents Case Is Deeply Dangerous,2024-07-16T01:23:19+0000,"Judge Aileen Cannon’s decision to throw out serious national-security criminal charges in the classified documents case against Donald Trump is legally unsupported, ignores decades of precedent and is deeply dangerous."
"R.F.K. Jr. Draws Another $8 Million From His Running Mate, Nicole Shanahan",2024-05-16T05:06:10+0000,"Robert F. Kennedy Jr.’s running mate, the Silicon Valley investor Nicole Shanahan, said on Wednesday night that she had given another $8 million to their independent presidential campaign as it carries out the expensive endeavor of gaining ballot access across the country and tries to propel Mr. Kennedy onto debate stages."
"Trump Courts Christian Voters, Days After Vulgar Remarks at a Rally",2024-10-22T03:31:12+0000,"Former President Donald J. Trump on Monday used the language of persecution to make a sweeping claim that only he could protect Christian voters, darkly warning religious communities that they would come under legal, cultural, political and global assault if he lost in November."
The Biggest Issue on Americans’ Minds Is Also a Tough One to Agree On,2024-03-05T17:53:59+0000,I don’t know how to make sense of it.
The Abyss Stares Back at Joe Biden,2024-07-09T23:00:08+0000,"It’s a familiar theme: the tragic hero who gains power to vanquish some evil and in doing so commits, or becomes, the evil he intended to vanquish. The Huey Long-like character of Willie Stark in Robert Penn Warren’s “All the King’s Men” comes to mind, as does the figure of Brutus in Shakespeare’s “Julius Caesar.”"
A Republican Trifecta,2024-11-12T11:26:54+0000,"Republicans moved closer to claiming House control yesterday. They have won 214 of the 218 seats they need for a majority, and 16 races remain uncalled. With the House, Republicans would have full control of the federal government next year."
San Diego Is Once Again a Top Migrant Entry Point,2024-06-04T15:13:39+0000,"From sunrise to sunset, the U.S. Border Patrol buses arrived every hour at a sunbaked parking lot in San Diego."
"It’s This Man’s, Man’s, Man’s World",2024-11-06T10:37:25+0000,I can no longer count the number of times I’ve counted out Donald Trump.
The Stakes on Immigration,2024-09-19T10:34:55+0000,"Nine years after Donald Trump’s rise in American politics, the stakes on immigration may seem clear enough. Trump wants a harsh crackdown on illegal immigration, with a border wall and mass deportations. Kamala Harris wants an approach that balances border security with human rights considerations."
U.S. Debt on Pace to Top $54 Trillion Over Next 10 Years,2024-02-07T19:00:09+0000,"The United States is on a pace to add nearly $19 trillion to its national debt over the next decade as the mounting costs of an aging population and higher interest expenses continue to weigh on the nation’s fiscal outlook, the nonpartisan Congressional Budget Office said on Wednesday."
Universal Music Artists Will Return to TikTok,2024-05-02T14:03:06+0000,"TikTok and Universal Music Group have reached a new licensing deal, ending a three-month stalemate that had blocked songs from some of pop’s biggest stars from the influential social media platform."
Kamala Harris’s Epic Fail in Puerto Rico,2024-03-28T09:04:45+0000,"Kamala Harris arrived in San Juan, P.R., last Friday for her first official visit as vice president. The trip was meant, in part, to highlight the Biden administration’s dedication to aiding the island’s recovery. What unfolded instead was a revealing tableau of Democrats’ missteps and misjudgments."
"For Trump, Doug Burgum Emerges as a Safe Option, and a Wild Card",2024-06-09T09:02:41+0000,"After taking his software company public in 1997, Doug Burgum gathered a few colleagues in his office and swore them to secrecy."
Six Takeaways From the First Presidential Debate,2024-06-28T04:24:19+0000,"President Biden struggled through his first debate of the 2024 campaign against Donald J. Trump, meandering and mumbling through answers as the former president pressed his case for a second term with limited resistance from his rival."
I Hope to Repeal an Arcane Law That Could Be Misused to Ban Abortion Nationwide,2024-04-02T09:03:57+0000,"A long discredited, arcane 150-year-old law is back in the news in 2024, and that should terrify anyone who supports reproductive freedom. Last week at the Supreme Court, the Comstock Act of 1873 was referred to on three occasions during oral arguments in a case dealing with access to mifepristone, one of two drugs typically used in medication abortions."
"What to Watch in Primaries in Maine, South Carolina, Nevada and North Dakota",2024-06-11T13:03:57+0000,"The presidential primary season is over, but down-ballot primaries are still happening across the country. Candidates will be on the ballot on Tuesday in five states: South Carolina, Nevada, Maine, North Dakota and Ohio, where a special House race will take place."
She Needed an Emergency Abortion. Doctors in Idaho Put Her on a Plane.,2024-06-28T22:29:35+0000,"Nicole Miller had gone to the emergency room in Boise, Idaho, after waking up with heavy bleeding in her 20th week of pregnancy. By afternoon, she was still leaking amniotic fluid and hemorrhaging and, now in a panic, struggling to understand why the doctor was telling her that she needed to leave the state to be treated."
"Buttigieg Warns Trump-Panicked Democrats, ‘We Cannot Be Mesmerized’",2024-11-21T21:34:11+0000,"As Democrats in Washington and beyond absorb the chaotic dawn of a new Trump administration, one of the party’s ambitious, young leaders is cautioning them to remain calm."
What Across-the-Board Tariffs Could Mean for the Global Economy,2024-08-27T15:35:31+0000,"Former President Donald J. Trump blames the global trading system for inflicting a long list of ills on the American economy including lost jobs, closed foreign markets and an overvalued dollar."
"Russia Sentences Alsu Kurmasheva, American Editor, to a Penal Colony",2024-07-22T16:50:29+0000,"A court in Russia said on Monday that it had convicted a Russian American editor for Radio Free Europe/Radio Liberty, an American broadcaster funded by the United States government, to six and a half years in a penal colony for spreading false information about the Russian Army."
The Bay Area Leads the National Shift to Electric Vehicles,2024-03-12T13:00:12+0000,California has been leading the national shift toward electric vehicles. And the Bay Area has led California.
How Linda McMahon Might Approach the Dept. of Education,2024-11-20T19:18:03+0000,"Linda McMahon, who is President-elect Donald J. Trump’s pick for education secretary, has a slimmer educational résumé than has been typical of candidates for the position."
Top Election Officials Warn Postal Service of Mail Ballot Issues,2024-09-11T22:50:07+0000,"A bipartisan group of election officials sounded the alarm on Wednesday about significant problems in the Postal Service in delivering mailed ballots, highlighting previous cases “in nearly every state” of ballots being delivered “well after Election Day.”"
Thursday Briefing,2024-10-10T05:01:05+0000,"Hurricane Milton crashed ashore Florida’s Gulf Coast last night, knocking down trees, ravaging homes and leaving hundreds of thousands without power. The Category 3 hurricane was the second powerful hurricane to pound the region in less than two weeks. The storm battered the state for much of the day, with heavy winds, pelting rain and a spate of tornadoes thrashing cities far from its center. Here’s the latest."
Bowman Falls to Latimer in a Loss for Progressive Democrats,2024-06-26T01:41:57+0000,"Representative Jamaal Bowman of New York, one of Congress’s most outspoken progressives, suffered a stinging primary defeat on Tuesday, according to The Associated Press, unable to overcome a record-shattering campaign from pro-Israel groups and a slate of self-inflicted blunders."
Who’s in More Trouble: Israel or Iran?,2024-05-21T23:02:19+0000,An astute friend recently observed that today’s crisis in the Middle East boils down to one question about two dates: Which historic moment is likelier to be reversed: 1948 or 1979?
"When the Taliban Took Kabul, She Fled, and Made a New Life in New York",2024-07-18T07:00:16+0000,"The night Kabul fell to the Taliban, a young lawyer named Nargis Baran was holed up in her apartment there, scrolling through news reports in disbelief. Then her boss called."
Ukrainian Drone Strikes Target Russian Nuclear Radar Stations,2024-05-30T19:22:49+0000,"In recent days, Ukraine has conducted a series of drone attacks inside Russia, including one of the longest-range strikes of the war, that target radar stations used, at least partly, as early nuclear warning systems by Moscow."
What I Truly Expect if an Unconstrained Trump Retakes Power,2024-11-01T09:05:00+0000,"Lately, I’ve seen conservatives taunting liberals online by asking why, if we really think America could be on the verge of fascism, our bags aren’t packed. “It’s tempting to begin trolling my anti-Trump friends by asking if they are liquefying assets, getting passports in order, etc.?” Scott McConnell, a founding editor of The American Conservative, posted on X. National Review’s Michael Brendan Dougherty said something similarly snarky: “So fascism is here and you’re not doing what people did when fascism showed up, which is contemplating emigration in terror or joining armed resistance.”"
Trump’s Plan to Take Away Biden’s Biggest Advantage,2024-03-19T10:00:09+0000,"Over the past week, Donald J. Trump has burned down and rebuilt the Republican National Committee, gutting the leadership and much of the staff."
"For Trump, a Deflating Blow, and Then a Bounce Back",2024-05-31T23:56:22+0000,"The Donald J. Trump who emerged from a drab courtroom in Lower Manhattan yesterday afternoon did so glumly, shuffling into the hallway to speak for less than two minutes. He seemed, like much of the nation, to be still absorbing the gut punch of his conviction on 34 felony charges."
Don’t Let Our Broken Politics Mangle Our Faith,2024-04-04T21:16:40+0000,"In 2007, I had a conversation about the culture war with the evangelical pastor Tim Keller that I’ve never forgotten. Keller, who was the founder of Redeemer Presbyterian Church in Manhattan, died last year, a devastating loss."
The Talented Democrats Who Aren’t Running for President,2024-07-09T09:04:46+0000,"At a BBQ for Biden-Harris event, a small crowd of Democratic voters gathered recently for a quiet lunch in the parking lot of a Detroit church, where a swift Michigan wind carried away their polite applause."
Another Political Failure on Immigration,2024-02-02T22:00:13+0000,President Biden’s assertion that he’s ready to sign a border deal — one that would make it much harder for migrants to enter the United States — is a necessary and long overdue step to restore the public’s confidence in the federal government’s ability to maintain control over immigration.
Democrats Who Are Winning,2024-05-29T10:31:33+0000,Recent polls contain a surprising combination of results: Democrats appear to be leading in six tough Senate races even as President Biden trails Donald Trump in the same states.
Transgender Americans Voice New Anxiety About Trump Agenda,2024-11-07T21:07:44+0000,"The steady flow of attack ads portraying Democrats as too liberal on transgender rights began appearing on television over the summer and continued through Election Day: “Kamala is for they/them,” went the tagline on one from Donald J. Trump’s campaign. “President Trump is for you.”"
"Trump Gets a Trial Date, and Fani Willis Fights Back",2024-02-16T11:00:10+0000,"The New York Times Audio app is home to journalism and storytelling, and provides news, depth and serendipity. If you haven’t already, download it here — available to Times news subscribers on iOS — and sign up for our weekly newsletter."
Friday Briefing,2024-10-11T04:02:05+0000,"Hurricane Milton cut an uneven path of destruction as it tore across Florida, largely sparing the densely populated cities around Tampa Bay but spawning deadly tornadoes far from its center. At least 12 people were killed, most in the eastern part of the state. Over three million people were still without power as of late Thursday night. Here’s the latest."
Microsoft Makes High-Stakes Play in Tech Cold War With Emirati A.I. Deal,2024-04-16T04:00:07+0000,"Microsoft said on Tuesday that it would make a $1.5 billion investment in G42, an artificial intelligence giant in the United Arab Emirates, in a deal largely orchestrated by the Biden administration to box out China as Washington and Beijing battle over who will exercise technological influence in the Persian Gulf region and beyond."
How an Ohio Town Landed in the Middle of the Immigration Debate,2024-09-03T09:02:27+0000,"It has been more than a year since the fateful morning last August when, outside Springfield in southwestern Ohio, a minivan veered into oncoming traffic and rammed into a school bus on the first day of class, killing an 11-year-old boy and injuring 23 other children."
"When Will They Speak Again? Once Close, Biden and Pelosi Are at Odds.",2024-08-14T18:46:27+0000,"When Joseph R. Biden Jr. visited San Francisco as a freshly minted senator and single father in the early 1970s, it was a well-known local fund-raiser and stay-at-home mother of five, Nancy Pelosi, who lent him her Jeep to get around town."
How Democrats Got Here With Biden,2024-06-29T10:00:13+0000,"As you may have heard, Thursday night was the first debate between President Biden and former president Donald J. Trump. In short, it was not a great night for Mr. Biden."
I Thought the Bragg Case Against Trump Was a Legal Embarrassment. Now I Think It’s a Historic Mistake.,2024-04-23T09:01:32+0000,"About a year ago, when Alvin Bragg, the Manhattan district attorney, indicted former President Donald Trump, I was critical of the case and called it an embarrassment. I thought an array of legal problems would and should lead to long delays in federal courts."
Mother Whose Son Died of Fentanyl Poisoning Brings Some Delegates to Tears,2024-07-17T03:47:56+0000,"Anne Fundner, a California woman whose 15-year-old son died in 2022 after taking pills laced with fentanyl, faulted President Biden on Tuesday night over his border policies and the flow of illegal opioids into the United States during an emotional speech at the Republican National Convention in Milwaukee."
How Trump Could Upend Electric Car Sales,2024-11-25T10:03:35+0000,"Many car buyers have come to rely on a $7,500 federal tax credit on electric vehicles to soften the blow of their high prices. But those credits could disappear after President-elect Donald J. Trump takes office, leading to an almost immediate drop in sales of the cars and trucks."
Chemical Makers Sue Over Rule to Rid Water of ‘Forever Chemicals’,2024-06-11T01:02:48+0000,Chemical and manufacturing groups sued the federal government late Monday over a landmark drinking-water standard that would require cleanup of so-called forever chemicals linked to cancer and other health risks.
The Candidate,2024-07-19T22:09:56+0000,"A sea of Republicans greeted former President Donald J. Trump with cheers and thunderous applause as he appeared at the Republican National Convention this week in Milwaukee, just days after his attempted assassination. He responded by pumping his fist in the air."
