title,date,paragraph,,,,,
Late Night Tackles Trump?™s Tic Tac Show and Tell,2024-08-16T06:06:13+0000,"Welcome to Best of Late Night, a rundown of the previous night?™s highlights that lets you sleep ??and lets us get paid to watch comedy. Here are the 50 best movies on Netflix right now.",,,,,
"Biden, Seeking to Build on Fruitful Week, Announces Billions in Chip Grants",2024-04-25T09:07:35+0000,"President Biden, building on a week of favorable political developments, celebrated a $6.1 billion grant to Micron Technology on Thursday, saying it would help the United States become less reliant on Asian countries by bolstering the nation?™s supply of semiconductors.",,,,,
How Harris Can Finish Strong,2024-10-10T23:00:08+0000,"Kamala Harris had a great first act. She established a buoyant tone for her 2024 presidential campaign and rode a wave of polling momentum. But now her campaign has stalled. Undecided voters in a Times Opinion focus group were recently asked to describe her efforts. They responded with phrases like: ?œhoneymoon?™s over,???œthe paint is wearing off,???œuninspired,???œabsent,???œscared to talk directly to the American people.??Researchers who have been surveying voter sentiment as the campaign progresses found that there?™s been a decline in how voters think about Harris, while sentiment toward Donald Trump has rebounded slightly since the September debate.",,,,,
There Were Two Huge Problems Harris Could Not Escape,2024-11-10T11:00:36+0000,"Sarah Isgur, a longtime Republican campaign operative ??and my friend and a senior editor at The Dispatch ??has a brilliant sports analogy for the process of campaigning. She compares it to ??curling.",,,,,
Thursday Briefing: Israeli Troops Clashed with Hezbollah,2024-10-02T21:02:04+0000,"Israel and Hezbollah said their troops were fighting at close range in southern Lebanon, as Prime Minister Benjamin Netanyahu weighed a military response to Iran for firing ballistic missiles at Israel.",,,,,
What to Know About Trump?™s New York Criminal Case After the Election,2024-11-06T17:24:00+0000,"The People of the State of New York v. Donald J. Trump was the one criminal case against the former president that actually went to trial. Now that Mr. Trump has reclaimed the presidency, it, too, is in jeopardy.",,,,,
"Amid the Mayhem, Trump Pumped His Fist and Revealed His Instincts",2024-07-14T03:24:29+0000,"Donald J. Trump was back on his feet. He had just been shot at, his white shirt was undone and his red hat was no longer on his head. Blood streaked across his face as riflemen patrolled the perimeter of the stage. A pack of Secret Service agents pressed their bodies against his. ?œWe?™ve got to move, we?™ve got to move,??one pleaded.",,,,,
"Biden Taunts Trump, Calling Him a ?˜Loser,??Trying to Get Under His Skin",2024-04-26T19:07:28+0000,"This week, one presidential candidate has called the other a loser, made fun of him for selling Bibles, and even poked fun at his hair.",,,,,
Saudi Arabia Pledges to Send Funding for Palestinians,2024-09-30T14:46:26+0000,"Saudi Arabia has pledged to send financial aid to the struggling Palestinian Authority, reversing a decision made during the Trump administration to slash funding to the governing body that administers some areas in the Israeli-occupied West Bank.",,,,,
?˜Is This Seriously the Best We Have??? Readers Discuss the Debate,2024-06-29T11:00:27+0000,"Did Thursday?™s debate change voters??minds about who should be president? Did it sway the undecided? Times Opinion asked our columnists and contributors to weigh in on who won and lost Thursday night, and we?™ve asked our readers to do the same.",,,,,
"Republicans??Electoral College Edge, Once Seen as Ironclad, Looks to Be Fading",2024-09-25T09:03:34+0000,Ever since Donald J. Trump?™s stunning victory in 2016 ??when he lost the popular vote by almost three million votes but still triumphed with over 300 electoral votes ??many who follow politics have believed Republicans hold an intractable advantage in the Electoral College.,,,,,
Are Parents Stressed Out?,2024-09-23T09:02:18+0000,"Are your parents stressed out these days? How about your friends??parents? If so, what do you think are the causes? Overall, do you think parenting is harder in 2024 than it was in the past?",,,,,
I Starred in ?˜Cabaret.??We Need to Heed Its Warning.,2024-11-24T14:00:05+0000,"This past week marked 58 years since the opening night for the Broadway premiere of ?œCabaret??in 1966. At the time, the country was in deep turmoil. Overseas, the Vietnam War was escalating, and at home, our most regressive forces were counterpunching against the progress demanded by the civil rights movement. The composer John Kander, the lyricist Fred Ebb and the playwright Joe Masteroff wrote ?œCabaret??in collaboration with the director Harold Prince as a response to the era. The parallels between the rise of fascism in 1930s Berlin as depicted in the show and the mounting tensions of the 1960s in America were both obvious and ominous.",,,,,
A Sharp Warning About Donald Trump,2024-01-09T16:38:23+0000,To the Editor:,,,,,
Trump Asks Steven Cheung to Lead White House Communications,2024-11-15T19:55:18+0000,"President-elect Donald J. Trump announced on Friday that he had chosen Steven Cheung, his chief campaign spokesman, to be his White House communications director.",,,,,
"Donald Trump, Blocking Out the Sun",2024-06-05T09:05:41+0000,"Frank Bruni, a contributing Opinion writer, hosted a written online conversation with Josh Barro, who writes the newsletter Very Serious, and Olivia Nuzzi, the Washington correspondent for New York magazine, to banter and bicker about the potential political fallout of Donald Trump?™s conviction. Below is a lightly edited transcript of their conversation.",,,,,
Super PAC Tied to Elon Musk Is Being Guided by Ex-DeSantis Aides,2024-07-23T23:32:37+0000,Two Republican operatives who played senior roles helping the presidential campaign of Gov. Ron DeSantis of Florida have taken on leadership roles in a new pro-Trump super PAC that could spend tens of millions of dollars in the presidential race and has ties to Elon Musk.,,,,,
Nothing to See Here but Upgrades,2024-09-30T09:07:34+0000,"Gail Collins: Well, Bret, the mayor of New York is certainly in a ton of trouble. Any thoughts? I couldn?™t help noticing that a lot of Eric Adams?™s misdeeds seem to involve him getting cushy flights to places like Turkey and Sri Lanka. Remembering the scandal over Justice Clarence Thomas?™s super-luxe flights in a plane belonging to a billionaire named Harlan Crow.",,,,,
Why Abortion Rights Won Even as Kamala Harris Lost,2024-11-12T11:00:16+0000,"Last Tuesday, voters across the country approved measures to protect abortion rights, while rejecting the presidential candidate who claimed to champion those same rights.",,,,,
Donald Trump and American Justice,2024-04-17T09:02:22+0000,"The former and possibly future president of the United States is now on trial in Lower Manhattan, the first criminal prosecution of an American elected to the nation?™s highest office. Donald Trump, who relentlessly undermined the justice system while in office and since, is enjoying the same protections and guarantees of fairness and due process before the law that he sought to deny to others during his term.",,,,,
How Crypto Money Is Poised to Influence the Election,2024-06-17T16:00:18+0000,"Ryan Selkis, a cryptocurrency executive, was eating dinner at Mar-a-Lago last month when he got an unexpected invitation: Former President Donald J. Trump wanted him to come to the stage and say a few words.",,,,,
Political Unrest Worldwide Is Fueled by High Prices and Huge Debts,2024-07-05T04:01:13+0000,"Like a globe-spanning tornado that touches down with little predictability, deep economic anxieties are leaving a trail of political turmoil and violence across poor and rich countries alike.",,,,,
"Resistance to Public Health, No Longer Fringe, Gains Foothold in G.O.P. Politics",2024-10-09T16:32:29+0000,"Resistance to public health, relegated to the fringes of the American right and left before Covid vaccine mandates became a cultural flashpoint and a symbol of government overreach, now has a firm foothold in Republican politics ??and a chance to wield real power in Washington.",,,,,
$50 Billion in Aid to Ukraine Stalls Over Legal Questions,2024-09-17T14:49:29+0000,A long-awaited plan to help Ukraine rebuild using Russian money is in limbo as the United States and Europe struggle to agree on how to construct a $50 billion loan using Russia?™s frozen central bank assets while complying with their own laws.,,,,,
"Trump Hints at Iran Link to His 2 Assassination Attempts, Despite the Available Evidence",2024-09-25T23:50:41+0000,Former President Donald J. Trump on Wednesday suggested that Iran might have been behind the two assassination attempts against him even as officials have said there is no evidence to link those plots to Iranian threats.,,,,,
Issues Affecting Women Take Center Stage as Southern Baptists Hold Annual Meeting,2024-06-11T09:04:02+0000,"Southern Baptists are poised to vote at their annual meeting on whether to crack down on women in pastoral leadership and whether to condemn the use of in vitro fertilization, setting up a referendum on the role of women in the nation?™s largest Protestant denomination and in American society.",,,,,
The 2024 Stakes for Judges,2024-10-31T10:42:49+0000,"On Tuesday, Americans will elect the next president and hundreds of Congress members. In doing so, voters will also shape the third branch: the judiciary.",,,,,
Biden Addresses Gun-Control Group Hours After Son?™s Firearms Conviction,2024-06-11T19:44:37+0000,President Biden told the nation?™s largest gun-control group on Tuesday that he had secured extensive reforms on firearms safety but acknowledged that he had not achieved several of his priorities.,,,,,
Biden Honors Veterans in Ceremony at Arlington Cemetery,2024-11-11T20:27:38+0000,"President Biden urged Americans to take a moment to honor those who serve in the military and their families on Monday, using the backdrop of Arlington National Cemetery to observe Veterans Day one last time as the country?™s commander in chief.",,,,,
Kimberly Guilfoyle?™s Convention Sequel,2024-07-18T00:59:18+0000,"Four years ago, Kimberly Guilfoyle delivered a dark, high-decibel address to the Republican National Convention that made her the subject of derisive jokes from pundits and late-night comedians.",,,,,
DeSantis and Haley Will Appear in Back-to-Back Town Halls Tonight,2024-01-04T14:43:29+0000,It?™s another busy day on the presidential campaign trail in Iowa.,,,,,
Harris Created a Huge Wave of Energy. How Long Can Democrats Ride It?,2024-07-31T09:04:55+0000,Everything is different now for Democrats.,,,,,
"Peter Navarro, Trump Trade Adviser, Heads From Prison to Convention",2024-07-17T17:47:21+0000,"Peter Navarro, who led the U.S. Office of Trade and Manufacturing Policy under President Donald J. Trump, was released from prison on Wednesday ??in time to fly to Milwaukee to speak at the Republican National Convention.",,,,,
On the Ballot: An Immigration System Most Americans Never Wanted,2024-10-29T10:06:50+0000,"If Donald J. Trump wins next week?™s election, it will be in large part because voters embraced his message that the U.S. immigration system is broken.",,,,,
How to Be a Writer in the Second Age of Trump,2024-11-15T10:03:44+0000,"When I awoke last week to the news that Donald Trump had been elected president once again, my first impulse was to write. This is not unusual for me. I have been writing my way through difficult times for more than 60 years.It?™s what I did after the civil rights battles of the 1960s, the Vietnam War and the Sept. 11 attacks and at the start of the pandemic. At moments of crisis and historical upheaval, it?™s easy to doubt that good writing can possibly help fix the many ills of the world. But whenever I have found myself lost in anger or anguish or confusion, the answer for how I could get through it was the same: Put pen to paper.In my experience, good writing requires four things: precision of language, the freedom to say anything, respect and ??perhaps most important ??love. The responsibilities of the writer today are no different from those of any writer in any age. But the presence, character and now considerable power of President-elect Trump make the work of fulfilling those responsibilities all the more difficult and urgent.",,,,,
Kamala Harris Visited a Spice Shop. Her Critics Flooded Yelp With Bad Reviews.,2024-09-10T19:04:13+0000,Vice President Kamala Harris preached unity when she took a break from debate prep and visited a spice shop in Pittsburgh on Saturday.,,,,,
More Than 80 Million Americans Cast Early Ballots,2024-11-05T16:11:29+0000,More than 80 million voters cast an early ballot either by mail or in person in a weekslong early voting season that was defined by a relatively seamless process.,,,,,
Two Opinion Columnists on Melania Trump?™s Memoir,2024-10-15T09:03:48+0000,"Melania Trump promoted her recent memoir, ?œMelania,??with a series of glossy and cryptic promotional videos stating the desire ?œto share my perspective: the truth.??But what does the self-titled memoir reveal to us about the often inscrutable former first lady? The bookish Opinion columnists Carlos Lozada and Pamela Paul discuss what they learned ??and often, what they did not ??from her work.",,,,,
"Severe Weather in U.S., and Crisis in Ecuador",2024-01-10T11:01:49+0000,"The New York Times Audio app is home to journalism and storytelling, and provides news, depth and serendipity. If you haven?™t already, download it here ??available to Times news subscribers on iOS ??and sign up for our weekly newsletter.",,,,,
"In a Season of Political Impressions, Why Does Dana Carvey?™s Biden Stand Out?",2024-10-23T09:09:21+0000,"Everyone expected Maya Rudolph to appear as Vice President Kamala Harris in the season premiere of ?œSaturday Night Live.??It was less obvious who would play Harris?™s running mate, Tim Walz. But when Jim Gaffigan walked onstage, face split in an open-mouthed grin like some kind of genial jack-o??lantern, it was clear no one else should have bothered. Gaffigan?™s entire comic persona is based in Walzian Big Dad Energy, even if he portrays himself as more likely to sit in his underwear eating Hot Pockets than climbing on the roof to clean out the gutters. There?™s a harmony there, a vibe match.",,,,,
Democratic Delegates See Harris as the Strongest Candidate Against Trump,2024-07-23T20:17:30+0000,"Delegates to the Democratic National Convention support the party moving forward swiftly to nominate Kamala Harris as their presidential candidate, rather than going through a prolonged and potentially divisive debate, according to interviews conducted by The New York Times.",,,,,
Your Guide to a Trump vs. Biden Debate,2024-06-27T09:02:58+0000,We don?™t know exactly what will happen when  President Biden and former president Donald J. Trump take the debate stage in Atlanta tonight.,,,,,
Trump?™s Huge Civil Fraud Penalty Draws Skepticism From Appeals Court,2024-09-27T01:05:18+0000,A New York appeals court expressed skepticism on Thursday about a civil judgment of more than $450 million that a trial judge had ordered former President Donald J. Trump to pay after finding that he had fraudulently inflated his wealth.,,,,,
"Best, Worst and Most Awkward Lines at the Al Smith Dinner",2024-10-18T05:07:07+0000,The two people running for president in one of the most pivotal and divisive elections in American history both tried to be funny at a Catholic charity event on Thursday night.,,,,,
The Case for Hope,2024-05-09T09:05:24+0000,"Mr. Kristof is the author of a new memoir, ?œChasing Hope: A Reporter?™s Life,??from which this essay is adapted.",,,,,
Will a Woman Ever Be President?,2024-11-06T23:07:18+0000,"On the arduous climb toward the ?œhighest, hardest glass ceiling,??female presidential candidates persisted and resisted. They promised they were unbought and unbossed. Most of all, they believed the nation was ready for them. And, one by one, they were proven wrong.",,,,,
Do Trump Fans Believe the Harris Hype? Not a Chance.,2024-08-11T09:04:41+0000,"Inside the sometimes upside-down world in which former President Donald J. Trump and his most passionate supporters commune, the current trajectory of the presidential race is totally fine. This has not been the worst three weeks of Mr. Trump?™s campaign. Nothing to worry about.",,,,,
"In Wilmington, They Like ?˜Delaware Joe.??But They?™re Glad He Quit.",2024-07-23T12:22:25+0000,"As President Biden met with confidants last week to discuss whether he should end his re-election campaign, John Flaherty, a retired government employee, was seated in a booth at Angelo?™s Luncheonette in Wilmington, Del., the small city that has been Mr. Biden?™s political home base for more than 50 years.",,,,,
3 Takeaways From Kamala Harris?™s Interview on MSNBC,2024-09-26T01:28:59+0000,Follow live updates on the 2024 election here.,,,,,
Just One Question for Trump and Vance: What Is Wrong With You People?,2024-07-25T14:21:25+0000,"Ever since President Biden?™s Sunday announcement that he would not seek re-election, clearly because of age, I keep thinking about Donald Trump?™s and JD Vance?™s contemptuous reactions to one of the most difficult personal decisions a president has ever made, and what it says about their character.",,,,,
"Inside the Trump-Harris Debate Prep: Method Acting, Insults, Tough Questions",2024-09-07T09:04:33+0000,"Vice President Kamala Harris is holed up for five days in a Pittsburgh hotel, doing highly choreographed debate practice sessions ahead of Tuesday night?™s clash. There?™s a stage and replica TV lighting and an adviser in full Lee Strasberg method-acting mode, not just playing Donald J. Trump but inhabiting him, wearing a boxy suit and a long tie.",,,,,
What?™s Stopping a Deal in Gaza?,2024-08-16T10:39:15+0000,"For weeks, the White House said the stars were aligned for a cease-fire agreement that would free the hostages held in Gaza. The framework of a deal first announced by President Biden has been in place since July. Since then, a phalanx of American officials has traveled frequently to the region, pushing Israel and Hamas to sign on. So far, they have failed.",,,,,
Trial Will Test Trump?™s Limits of Reaping Political Gain From Legal Woes,2024-02-16T10:07:00+0000,"For all their bluster, nobody in Donald J. Trump?™s political inner circle actually thinks a criminal conviction will help him with the independent voters and suburban women who lost him the presidency in 2020.",,,,,
Review Panel Calls for Overhaul of Secret Service Leadership,2024-10-17T12:00:08+0000,An independent panel reviewing the failures that led to the attempted assassination of former President Donald J. Trump in July called on the Secret Service to replace its leadership with people from the private sector and focus almost exclusively on its protective mission.,,,,,
A ?˜Simpsons??Joke Comes True for Cypress Hill,2024-07-11T16:11:58+0000,There is now an answer to at least one chicken-or-egg ?œSimpsons??prophesy: The episode did come first.,,,,,
?˜This Could Well Be Game Over??2024-03-06T10:03:39+0000,"While the Supreme Court ruling on Monday that states cannot bar Donald Trump from appearing on their presidential ballots garnered a lot of attention, the more politically consequential decision came on Feb. 28, when the court set a hearing on Trump?™s claim of presidential immunity for the week of April 22.",,,,,,
The Dismissal of the Trump Classified Documents Case Is Deeply Dangerous,2024-07-16T01:23:19+0000,"Judge Aileen Cannon?™s decision to throw out serious national-security criminal charges in the classified documents case against Donald Trump is legally unsupported, ignores decades of precedent and is deeply dangerous.",,,,,
"R.F.K. Jr. Draws Another $8 Million From His Running Mate, Nicole Shanahan",2024-05-16T05:06:10+0000,"Robert F. Kennedy Jr.?™s running mate, the Silicon Valley investor Nicole Shanahan, said on Wednesday night that she had given another $8 million to their independent presidential campaign as it carries out the expensive endeavor of gaining ballot access across the country and tries to propel Mr. Kennedy onto debate stages.",,,,,
"Trump Courts Christian Voters, Days After Vulgar Remarks at a Rally",2024-10-22T03:31:12+0000,"Former President Donald J. Trump on Monday used the language of persecution to make a sweeping claim that only he could protect Christian voters, darkly warning religious communities that they would come under legal, cultural, political and global assault if he lost in November.",,,,,
The Biggest Issue on Americans??Minds Is Also a Tough One to Agree On,2024-03-05T17:53:59+0000,I don?™t know how to make sense of it.,,,,,
The Abyss Stares Back at Joe Biden,2024-07-09T23:00:08+0000,"It?™s a familiar theme: the tragic hero who gains power to vanquish some evil and in doing so commits, or becomes, the evil he intended to vanquish. The Huey Long-like character of Willie Stark in Robert Penn Warren?™s ?œAll the King?™s Men??comes to mind, as does the figure of Brutus in Shakespeare?™s ?œJulius Caesar.??
A Republican Trifecta,2024-11-12T11:26:54+0000,Republicans moved closer to claiming House control yesterday. They have won 214 of the 218 seats they need for a majority", and 16 races remain uncalled. With the House," Republicans would have full control of the federal government next year.""",,,
San Diego Is Once Again a Top Migrant Entry Point,2024-06-04T15:13:39+0000,"From sunrise to sunset, the U.S. Border Patrol buses arrived every hour at a sunbaked parking lot in San Diego.",,,,,
"It?™s This Man?™s, Man?™s, Man?™s World",2024-11-06T10:37:25+0000,I can no longer count the number of times I?™ve counted out Donald Trump.,,,,,
The Stakes on Immigration,2024-09-19T10:34:55+0000,"Nine years after Donald Trump?™s rise in American politics, the stakes on immigration may seem clear enough. Trump wants a harsh crackdown on illegal immigration, with a border wall and mass deportations. Kamala Harris wants an approach that balances border security with human rights considerations.",,,,,
"For Trump, Doug Burgum Emerges as a Safe Option, and a Wild Card",2024-06-09T09:02:41+0000,"After taking his software company public in 1997, Doug Burgum gathered a few colleagues in his office and swore them to secrecy.",,,,,
Boebert Opts Out of Special Election to Focus on Primary in a New District,2024-03-13T17:16:39+0000,"Representative Lauren Boebert, the firebrand Republican from Colorado, said on Wednesday she will not resign her current seat even though the seat she ultimately wants is now being vacated by her House colleague, Ken Buck, sooner than she expected.",,,,,
They Came to See Trump. First They Heard a Pitch to Buy Gold and Silver.,2024-06-24T19:16:30+0000,"At a conference this month put on by Turning Point Action, a rising conservative activist group, 8,000 people packed into a Detroit convention hall to hear directly from Republicans??presumptive nominee for president, Donald J. Trump.",,,,,
Six Takeaways From the First Presidential Debate,2024-06-28T04:24:19+0000,"President Biden struggled through his first debate of the 2024 campaign against Donald J. Trump, meandering and mumbling through answers as the former president pressed his case for a second term with limited resistance from his rival.",,,,,
I Hope to Repeal an Arcane Law That Could Be Misused to Ban Abortion Nationwide,2024-04-02T09:03:57+0000,"A long discredited, arcane 150-year-old law is back in the news in 2024, and that should terrify anyone who supports reproductive freedom. Last week at the Supreme Court, the Comstock Act of 1873 was referred to on three occasions during oral arguments in a case dealing with access to mifepristone, one of two drugs typically used in medication abortions.",,,,,
Trump Had It Easy the First Time,2024-11-12T22:30:08+0000,I don?™t know why people say that President-elect Donald Trump is going to face difficult challenges in foreign policy.,,,,,
Former Contractor Who Leaked Trump?™s Tax Returns Sentenced to 5 Years in Prison,2024-01-29T21:07:07+0000,A former Internal Revenue Service contractor accused of leaking the tax documents of Donald J. Trump and other wealthy Americans was sentenced on Monday to five years in prison.,,,,,
"What to Watch in Primaries in Maine, South Carolina, Nevada and North Dakota",2024-06-11T13:03:57+0000,"The presidential primary season is over, but down-ballot primaries are still happening across the country. Candidates will be on the ballot on Tuesday in five states: South Carolina, Nevada, Maine, North Dakota and Ohio, where a special House race will take place.",,,,,
Tailgating in Wisconsin With the Bros Trump Needs,2024-11-02T10:00:19+0000,One phenomenon that?™s been getting a lot of attention during this election is the growing gender gap among young people.,,,,,
?˜The Fortress?? A Norwegian Export About the Danger of Closed Borders,2024-07-19T09:02:44+0000,"In ?œThe Fortress,??a new series about pandemic, isolationism and government corruption, something is rotten in the state of Norway. The year is 2037, and the country has spent the last decade cut off from the rest of the world, behind a wall of its own making. When a deadly virus sweeps through the land, the prime minister blames refugees for bringing the illness to an insulated paradise.",,,,,
Tuesday Briefing: U.S. Moves to Crack Down on TikTok,2024-03-11T21:14:57+0000,"House Republicans plan to vote this week on legislation that would force the Chinese owners of TikTok to divest or be barred in the U.S., even after Donald Trump came out strongly against banning the platform.",,,,,
"Democrats Hope Abortion Will Save the Senate, but It Might Not Be Enough",2024-09-05T18:41:18+0000,"As Debbie Mucarsel-Powell revved up the Democratic faithful in a restaurant named for Thomas Edison, she was looking for a little electricity in her campaign to unseat Senator Rick Scott of Florida.",,,,,
The Robotic Future of Pro Sports,2024-10-06T11:19:00+0000,"For most of sports history, there was no recourse when a referee made a bad call. Fans could boo and players could complain, but the game went on. Instant replay changed that a few decades ago, allowing coaches to challenge a call and ask the referees to review it. That made games fairer, but it also made them slower.",,,,,
"After Trump Assassination Attempt, Right Points Finger at Female Agents",2024-07-16T18:29:33+0000,"In the hours after the attempted assassination of former President Donald J. Trump, a sexist theory explaining how the Secret Service could have allowed such a grave security failure emerged in right-wing circles: It was the fault of incompetent women in his security detail.",,,,,
"To Lure Michigan Voters, Trump Campaign Stokes China Fears",2024-08-27T19:54:45+0000,Follow along with the latest election updates as Harris and Trump hit the campaign trail.,,,,,
"?˜Black Twitter?? Movements, Memes and Crying Jordan",2024-05-10T09:05:23+0000,"When Prentice Penny first began work on the forthcoming docuseries ?œBlack Twitter: A People?™s History,??the last thing the director wanted to do was explain to anybody just what Black Twitter was. How could he?",,,,,
"Unbowed by Jan. 6 Charges, Republicans Pursue Plans to Contest a Trump Defeat",2024-07-13T15:32:06+0000,"The Republican Party and its conservative allies are engaged in an unprecedented legal campaign targeting the American voting system. Their wide-ranging and methodical effort is laying the groundwork to contest an election that they argue, falsely, is already being rigged against former President Donald J. Trump.",,,,,
Chinatown Vendor Tallies Neighborhood?™s Decline in $1 Plastic Bracelets,2024-11-24T08:00:13+0000,"By the time Shaohua Yu erected his stand at around 10 a.m., Chinatown was already bustling. Tourists were wandering around the stalls along Canal Street, where Chinese peddlers and recent immigrants from Africa were selling the same fake Louis Vuitton and Gucci products. Behind Mr. Yu, the New Kam Man supermarket had just rolled up its steel curtain. A row of roasted ducks hung in the window facing him.",,,,,
Guns Are Woven Into the Life of Shooter?™s Hometown,2024-07-17T00:05:04+0000,"Thomas Crooks did not have to look far beyond his hometown in western Pennsylvania to find opportunities to arm himself, buy ammunition and practice shooting before he headed to a political rally last weekend and tried to assassinate former President Donald J. Trump.",,,,,
How Donald Trump?™s Financial Future Became Tied to Trump Media,2024-05-21T15:54:46+0000,"At Mar-a-Lago on a Wednesday evening last month, Donald J. Trump mingled with partygoers, greeting his supporters and making small talk. The country star Lee Greenwood sang ?œGod Bless the U.S.A.,??and the former president?™s oldest son, Donald Jr., gave a speech.",,,,,
Polls May Shape Biden?™s Future. Are They Up to the Job?,2024-07-12T09:04:46+0000,President Biden?™s re-election campaign is in jeopardy because of his poor debate performance. But lurking behind the Democratic anxiety is another factor: the polls.,,,,,
Just What Kind of a Third-Party Candidate Is R.F.K. Jr.?,2024-05-04T09:05:13+0000,"With six months to go until the election, it?™s still too early to judge whether Robert F. Kennedy Jr., the Democrat-turned-independent candidate for president, will prove to be more than a mere spoiler.",,,,,
Jill Biden?™s Dress Makes a Post-Debate Statement,2024-06-28T22:41:31+0000,"To the political strategy that might in the future be called ?œtransparent efforts to change the narrative and repair the damage done to Joe Biden in the first presidential debate,??add the dress that Jill Biden wore to accompany her husband to his next-day rally in Raleigh, N.C.",,,,,
Late Night Weighs In on Trump?™s Cabinet Picks,2024-11-12T07:41:42+0000,"Welcome to Best of Late Night, a rundown of the previous night?™s highlights that lets you sleep ??and lets us get paid to watch comedy. Here are the 50 best movies on Netflix right now.",,,,,
Suspected Gunman Said He Was Willing to Fight and Die in Ukraine,2024-09-16T01:00:39+0000,"Ryan Wesley Routh, the 58-year-old man who was arrested on Sunday in connection with what the F.B.I. described as an attempted assassination on former President Donald J. Trump, had expressed the desire to fight and die in Ukraine.",,,,,
Friday Briefing,2024-04-05T04:02:04+0000,"It will be six months this Sunday since the Oct. 7 attacks that started the war between Israel and Hamas. More than 32,000 Palestinians have died, people in Gaza are desperate for aid and dozens of Israeli hostages are still being held there.",,,,,
