title,date,paragraph,,,,,,
"A Gleeful Trump, Fresh From the Debate, Rallies in Virginia",2024-06-29T01:29:50+0000,"The day after a presidential debate in which his opponent?™s stumbles took the focus, former President Donald J. Trump returned to the campaign trail on Friday afternoon, clearly gleeful as he strode onstage in front of thousands of people in a field in Virginia and gloated about his performance.",,,,,,
A Shift in the World of Science,2024-10-13T11:10:37+0000,"Technology observers have grown increasingly vocal in recent years about the threat that artificial intelligence poses to the human variety. A.I. models can write and talk like us, draw and paint like us, crush us at chess and Go. They express an unnerving simulacrum of creativity, not least where the truth is concerned.",,,,,,
Kamala Harris Produced the Show She Wanted,2024-09-11T16:38:09+0000,"At the ABC presidential debate, Kamala Harris had a programming challenge. Working against an experienced reality-TV professional, a savant of live broadcasts, she had to pull off a successful reboot of Democrats??least-favorite TV show of the 2024 season: the June debate that saw the self-immolation of President Biden.",,,,,,
Tim Walz Is Kamala Harris?™s Choice for Vice President,2024-08-06T13:10:57+0000,"Vice President Kamala Harris, the Democratic nominee for president, has chosen Gov. Tim Walz of Minnesota as her running mate, elevating a former football coach whose rural roots, liberal policies and buzzy takedowns of former President Donald J. Trump have recently put him on the map.",,,,,,
"Trump Attacks Michelle Obama, Days After She Criticized Him",2024-10-29T01:41:48+0000,"Former President Donald J. Trump said that Michelle Obama had made a ?œbig mistake??by criticizing him, as he responded on Monday for the first time to her recent searing comments about his mental state.",,,,,,
What Are People Saying About the New Sally Rooney Book?,2024-09-24T15:10:09+0000,"Seven years into her writing career, a new book by Sally Rooney is all but guaranteed to be an event.",,,,,,
Special Edition: America Votes,2024-11-05T21:18:29+0000,"After a grueling and polarizing campaign, American voters are choosing their next president. It?™s hours before the last polls close in Alaska, and it may be days until one of the closest presidential elections in U.S. history is decided.",,,,,,
"Israeli Right, Pushing to Annex West Bank, Sees Allies in Trump?™s Picks",2024-11-14T10:07:51+0000,"President-elect Donald J. Trump?™s emerging team in the Middle East appears poised to push U.S. foreign policy into even tighter accord with Israel?™s far-right government, challenging the marriage of convenience Mr. Trump struck with Muslim voters and potentially straining relations between Israeli and American Jews to a breaking point.",,,,,,
"?˜Run, Kamala, Run?? Mention of Harris?™s Father Was a Rare Homage to a Fleeting Figure",2024-08-24T18:03:10+0000,"?œRun, Kamala, run.??
White House Calls Special Counsel Report on Biden Politically Motivated,2024-02-09T18:45:57+0000,White House officials on Friday called the special counsel?™s report into President Biden?™s handling of classified material politically motivated"," escalating their attempts to discredit a document that characterized the president as elderly and forgetful.""",,,,,
Donald Trump Embraces ?˜Love??2024-09-25T12:00:08+0000,The emails have been pleading and plaintive.,,,,,,,
Review: A Tribute to the Jazz Great Max Roach Meets His Standards,2024-04-04T16:23:11+0000,"Nothing dates like technology. The video effects in the Kit Fitzgerald film that opens ?œMax Roach 100??at the Joyce Theater ??a centenary celebration of the great drummer, composer and activist ??are clearly from the 1980s. (Remember Max Headroom?) The performances of Roach that the film preserves, however, are timeless.",,,,,,
Kamala Harris Puts Sarah Huckabee Sanders in Her Unhumble Place,2024-10-10T16:00:05+0000,There?™s a kind of holiday-season letter ??I?™m sure you?™ve received one ??that isn?™t so much an update from the family who sent it as an advertisement for the brood?™s glory.,,,,,,
Race for Competitive Washington Congressional Seat Turns Into Rematch,2024-08-07T03:30:25+0000,"Two years ago, Representative Marie Gluesenkamp Perez won a seat in Congress in Washington State, beating her Republican rival, Joe Kent, by less than 3,000 votes.",,,,,,
The International Date Line Is ?˜Pretty Arbitrary.??Here?™s Why.,2024-04-24T15:21:45+0000,Taylor Swift flies to Las Vegas from Japan and gains several hours. Hong Kong?™s stock market closes as London?™s opens. A clock on a remote Pacific island strikes midnight 24 hours early on a politician?™s order.,,,,,,
Kamala Harris Says Biden Is a ?˜Fighter??at North Carolina Rally,2024-07-11T21:44:34+0000,"On a day when President Biden is holding a high-stakes news conference in which members of his own party will be measuring his vigor and strength, Vice President Kamala Harris on Thursday cast Mr. Biden as a ?œfighter??prepared to overcome the crisis gripping his campaign, and argued that a second Trump term would make Americans less safe and reverse the Biden administration?™s accomplishments.",,,,,,
Tuesday Briefing: The U.S. Campaign?™s Final Stretch,2024-10-28T20:57:52+0000,"With one week to go until Election Day, Kamala Harris is centering her closing argument on the stakes of another Trump presidency. Donald Trump held a provocative closing rally in New York City.",,,,,,
Six Weeks to Go,2024-09-20T10:00:12+0000,"As the presidential race enters its final 45 days, we assemble a campaign round table with our colleagues from the politics desk.",,,,,,
A G.O.P.-Linked Group?™s Contradictory Ads Cast Harris as Friend and Foe of Israel,2024-09-20T17:30:11+0000,"A super PAC that appears to have Republican ties is trying to cast Vice President Kamala Harris in contradictory terms on Israel, pitching her as anti-Israel in a new ad that seems aimed at least partly at Jewish voters shortly after portraying her as pro-Israel in ads targeting Muslim voters.",,,,,,
Seven Theories for Why Biden Is Losing (and What He Should Do About It),2024-05-19T10:00:07+0000,"It?™s not Joe Biden?™s poll numbers that worry me, exactly. It?™s the denial of what?™s behind them.",,,,,,
Biden Renewed Efforts to Reach a Cease-Fire in Gaza,2024-10-18T21:33:03+0000,"President Biden said today that the killing of the Hamas leader Yahya Sinwar offered ?œan opportunity to seek a path to peace??in the Middle East. Speaking in Berlin, where he met with European leaders, Biden said he would send Secretary of State Antony Blinken to Israel in the coming days to discuss a plan to end the war in Gaza.",,,,,,
Harris Opens $110 Million Cash Edge Over Trump After August Fund-Raising Haul,2024-09-06T09:07:30+0000,"Vice President Kamala Harris in August raised almost triple the sum collected by former President Donald J. Trump, opening up a $110 million cash lead over her Republican rival once Ms. Harris took over the top of the Democratic ticket.",,,,,,
Is It a Mistake for Democrats to Go All In on Harris? Four Columnists on the Party?™s Moves.,2024-07-22T19:44:24+0000,"Patrick Healy, the deputy Opinion editor, hosted an online conversation with the Times Opinion columnists Ross Douthat, David French, Michelle Goldberg and Lydia Polgreen to discuss where Democrats go from here ??whether the party should coalesce unreservedly around Kamala Harris as its presidential nominee, what her strengths and weaknesses are, how she should run against Donald Trump, what it will take to beat him and who the Democratic V.P. nominee should be this year. This conversation has been edited for length and clarity.",,,,,,
The Politics of Disaster,2024-09-30T23:23:03+0000,"When former President Donald Trump traveled to Valdosta, Ga., today, he seemed to want to project the image of a leader in command amid the devastation of Hurricane Helene.",,,,,,
Surprise Hit of the Campaign TV Ad Season: Giving Voters Permission to Go Rogue,2024-10-31T19:32:49+0000,"The advertisement opens with three older women sitting around a table in a diner, talking about threats to Israel and American Jews and Donald J. Trump. One admits she ?œnever cared for??the former president. ?œBut at least he?™ll keep us safe,??she says.",,,,,,
"Our Super Bowls, Ourselves",2024-02-09T10:02:51+0000,"What do Lady Diana?™s wedding, the ?œSurvivor??first-season finale and Prince?™s 2007 Super Bowl halftime show have in common? They were huge cultural moments that brought millions of Americans together. In an era of streaming, social media bubbles and sharp political divides, are unifying events like these becoming relics?",,,,,,
Trump Looked Livid. Harris Looked Amused. It Was No Contest.,2024-09-11T05:33:11+0000,"In Kamala Harris?™s big general-election debate four years ago, she faced off against an opponent with a fly on his head.",,,,,,
Inside a Kamala Harris Ad That Draws an Implicit Contrast on Character,2024-09-30T13:29:10+0000,"Vice President Kamala Harris?™s presidential campaign is running this 30-second ad on television stations in at least four battleground states and has spent more than $5 million since first airing it in mid-September, according to AdImpact.",,,,,,
"Three Delegates, Decades Apart in Age, Converge at the Democratic Convention",2024-08-21T17:19:18+0000,"Among the nearly 4,700 delegates gathered in Chicago this week for the Democratic National Convention: United States senators and representatives. Top state officials. Leaders of major advocacy groups and labor unions. Democrats aspiring to become one or more of the above.",,,,,,
Trump?™s Gains in New York City Offer Clues to a Shifting Electoral Map,2024-10-26T09:05:44+0000,"This morning, we have a New York Times/Siena College poll in a place that might surprise you: New York City.",,,,,,
Where Potential Democratic V.P. Candidates Stand on Climate,2024-08-01T16:08:26+0000,"Vice President Kamala Harris, now the presumptive Democratic nominee for president, has a long history as a climate-minded politician. As California?™s attorney general, she prosecuted polluters, and as a U.S. senator she cosponsored the Green New Deal, a resolution that called on the nation to pivot away from fossil fuels but that never passed the Congress. During her time as vice president, she helped broker the largest climate deal in U.S. history, the $370 billion Inflation Reduction Act of 2022.",,,,,,
"More Voters, Especially Women, Now Say Abortion Is Their Top Issue",2024-08-31T09:02:29+0000,"Attitudes on abortion are deeply entrenched and have motivated voters across the American political landscape for decades. But in a post-Roe world, with abortion access sharply limited or at stake in several states, voters who want to protect abortion rights are increasingly energized.",,,,,,
"Criticizing Oprah, Trump Falsely Claims He Appeared on Her Show?™s Final Week",2024-09-22T19:55:00+0000,"When former President Donald J. Trump vented Saturday night about Oprah Winfrey?™s recent interview with Vice President Kamala Harris, he resurrected a false claim that he had made before: that he appeared on the last week of Ms. Winfrey?™s television show.",,,,,,
"Cheney, on the Sidelines as Harris Courts Her Endorsement, Plans to Weigh In Soon",2024-08-30T15:43:21+0000,"When Democrats spread the word this month that there would be prominent Republicans onstage at their party convention making the case for Vice President Kamala Harris, all eyes turned to former Representative Liz Cheney, the onetime member of G.O.P. royalty who torpedoed her own political career by breaking vociferously with former President Donald J. Trump.",,,,,,
The Social Media Olympics,2024-08-10T12:00:03+0000,"Just moments after the American wrestler Sarah Hildebrandt won a gold medal at the Paris Games, she let the whole world know what she was thinking:",,,,,,
What Can a Celebrity Endorsement Do? Ask Shonda Rhimes.,2024-10-29T22:11:34+0000,"At first, the showrunner Shonda Rhimes seemed to go nearly unnoticed at the strip mall in suburban Atlanta.",,,,,,
A Unified Republican Congress Would Give Trump Broad Power for His Agenda,2024-10-30T18:56:51+0000,"Former President Donald J. Trump has big policy plans should he be re-elected, including mass deportation of undocumented immigrants and a supercharged crackdown against new migrants, tax breaks on tips and property taxes, expanded oil drilling on federal lands and the elimination of the Education Department.",,,,,,
What We Learned About Harris ??and the Democrats ??This Week,2024-08-23T09:02:20+0000,"The hosts react to Kamala Harris?™s convention speech in this special late-night edition of ?œMatter of Opinion.??Columnists Lydia Polgreen, Ross Douthat and Carlos Lozada unpack how Harris had a ?œdeft threading of a number of tricky needles??as she accepted her party?™s nomination, and look at what the entire week revealed about the Democratic Party.",,,,,,
"With the Clock Ticking, Should Harris Define Herself or Her Opponent?",2024-10-24T19:33:31+0000,"It was the most standard of job interview questions, in this case posed by Joe Donahue, a registered Republican and undecided voter, to an applicant for the post of leader of the free world: Vice President Kamala Harris, what weaknesses do you bring to the table?",,,,,,
Harris Spends an Hour in the Warm Embrace of Howard Stern,2024-10-08T19:34:29+0000,"Who says Kamala Harris?™s unconventional media tour won?™t reveal anything of note? On Tuesday, she did an hourlong sit-down with Howard Stern, the satellite radio host, and among the juicy bits we learned is that the V.P. isn?™t a napper; that she digs Doritos and jigsaw puzzles; that her favorite F1 driver is Lewis Hamilton; that she went to see U2 at the Sphere; and that a rare area of musical agreement between her and Doug, her husband, is their love of Prince.",,,,,,
?˜Cheaters Don?™t Like Getting Caught?? Harris Blasts Trump in Michigan,2024-06-08T20:15:13+0000,"In one of her first campaign appearances since former President Donald J. Trump was convicted of falsifying business records, Vice President Kamala Harris sharply criticized him on Saturday as a ?œcheater??who believes himself above the law and argued that he should be disqualified for the presidency.",,,,,,
"After Cold Shoulders for Biden, Senate Democrats Wrap Their Arms Around Harris",2024-08-11T09:04:45+0000,"When President Biden campaigned in Michigan last month, Representative Elissa Slotkin, the Democrats??nominee for the state?™s open Senate seat, was nowhere to be found. But on Wednesday night, just weeks after that no-show, Ms. Slotkin announced her full-throated support for her party?™s new presidential ticket at a Detroit rally.",,,,,,
"In News Conference, Biden Has Slips but Shows Strength on Foreign Policy",2024-07-11T09:03:59+0000,,,,,,,
It?™s Not Just Taylor Swift. Music Activism Gets Back on the Road.,2024-10-16T13:42:35+0000,"Doug Emhoff, the husband of Vice President Kamala Harris, and Gov. Josh Shapiro of Pennsylvania could not believe their good fortune.",,,,,,
Harris and Walz Venture Into Less-Friendly Terrain to Court Pennsylvania Voters,2024-08-19T01:05:35+0000,"Before their convention this week that will signal the final sprint to November, Vice President Kamala Harris and her running mate, Gov. Tim Walz of Minnesota, headed out on a brief bus tour on Sunday to fire up voters in perhaps the most crucial battleground state in the 2024 election.",,,,,,
"?˜Artificial Intelligence?? No, Collective Intelligence.",2024-05-24T09:04:38+0000,"A.I.-generated art has flooded the internet, and a lot of it is derivative, even boring or offensive. But what could it look like for artists to collaborate with A.I. systems in making art that is actually generative, challenging, transcendent?",,,,,,
?˜The Real Danger Within the Democratic Party of a Fundamental Crack-Up??2024-07-09T09:03:33+0000,"It was once a fringe opinion to say President Biden should drop his re-election bid and Democrats should embrace an open convention. That position is fringe no more. But when the conventional wisdom shifts this rapidly, there?™s always the danger of overlooking its potential flaws.",,,,,,,
Homes for Sale in Manhattan and Brooklyn,2024-09-05T09:06:51+0000,"A two-bedroom, two-bath, roughly 1,700-square-foot apartment with a windowed kitchen, a dining area, a step-down living room, a large primary bedroom with a washer/dryer, a den/home office, ample closets and PTAC heating and air-conditioning, on the seventh floor of a 15-story prewar doorman building with a dedicated basement storage locker, shared laundry, bike storage, a roof deck, a garden and a live-in super. Frederick Warburg Peters and David Harris, Coldwell Banker Warburg, 212-327-9645; cbwarburg.com",,,,,,
The Changing Supply Chain,2024-08-12T10:30:12+0000,"For decades, major companies have behaved as if geographic distance were almost irrelevant. A factory in China was the same as a factory in Michigan. The internet, container shipping and international trading arrangements had supposedly shrunk the globe.",,,,,,
Ackman?™s Wait for His Long-Awaited Fund Offering,2024-07-29T12:01:03+0000,"Monday isn?™t going to be the day that Bill Ackman prices the I.P.O. of his Pershing Square USA investment vehicle, as had been planned.",,,,,,
Barack Obama?™s Big Lesson,2024-11-26T11:30:07+0000,"It remains Barack Obama?™s most underrated political skill: his appeal to working-class voters, including those who are white.",,,,,,
Monday Briefing: Thousands Protest in Israel,2024-09-01T20:57:03+0000,"Six hostages were found dead in southern Gaza over the weekend, prompting a furious reaction among Israelis who blamed the country?™s prime minister, Benjamin Netanyahu, for failing to secure a deal that would have released those remaining in captivity. ",,,,,,
"Martin O?™Malley, Ex-Maryland Governor, Kicks Off Race to Lead D.N.C.",2024-11-18T18:00:08+0000,"Martin O?™Malley, the former Maryland governor and Baltimore mayor who for the last year has served as commissioner of the Social Security Administration, on Monday became the first announced candidate for chair of the Democratic National Committee.",,,,,,
How the Death of a Celebrity Squirrel Became a Republican Rallying Cry,2024-11-05T00:10:34+0000,"?œI know Don is fired up about P?™Nut the squirrel,??JD Vance, the vice-presidential candidate, said at a rally in Sanford, N.C., on Sunday.",,,,,,
But Would Kamala Wear It?,2024-09-27T07:59:52+0000,"After the hoo-ha generated last month by Kamala Harris?™s appearance at the Democratic National Convention in not one but two ChloÃ© suits ??the tan number she wore for her surprise speech on Day 1, and the navy look she wore for her official acceptance speech ??one could be forgiven for assuming that ChloÃ©?™s newish designer, Chemena Kamali, might lean into the whole tailoring-with-a-softer-edge thing.",,,,,,
North Carolina Officials Report Record Turnout for First Day of Early Voting,2024-10-18T19:10:54+0000,"More than 353,000 ballots were cast in North Carolina on Thursday, a state record for the first day of early voting, signaling intense enthusiasm in a battleground state still reeling from the devastation of Hurricane Helene and where 16 presidential electoral votes are up for grabs. But early insights into the significance of such high voter turnout were unclear.",,,,,,
Starring in Kamala Harris?™s Closing Argument: Donald Trump,2024-10-20T19:32:40+0000,"With the presidential race a dead heat two weeks before Election Day, Vice President Kamala Harris is moving aggressively to make sure voters in the battlegrounds remember precisely why they rejected Donald J. Trump four years ago.",,,,,,
"A Hulk Hogan-Jesse Ventura Grudge Match, in the Political Arena",2024-08-14T22:16:51+0000,"When Jesse ?œThe Body??Ventura faced off against Hulk Hogan in the 1980s, Mr. Ventura played the heel ??the caped villain whose staged cheap shots and provocations rallied the audience to the side of the mustachioed hero, glistening triumphantly in his underwear.",,,,,,
Why Are Americans Still Down on the Economy?,2024-03-18T23:00:09+0000,"Are you better off today than you were four years ago? Honestly, I didn?™t think Republicans were going to try replaying Ronald Reagan?™s famous line, since so much of the G.O.P.?™s 2024 strategy depends on a sort of collective amnesia about the last year of Donald Trump?™s presidency. Is it really a good idea to remind voters what the spring of 2020 was like?",,,,,,
A Pro-Trump Ad Looks to Turn Harris?™s Record as a Prosecutor Against Her,2024-10-15T16:44:50+0000,"MAGA Inc., one of the biggest super PACs supporting Donald J. Trump?™s presidential campaign, has aired this 30-second ad on television stations in Arizona, Georgia, Michigan and Pennsylvania over the past week at a cost, so far, of around $4.4 million, according to AdImpact.",,,,,,
How to Watch the Harris-Walz Interview,2024-08-29T09:04:11+0000,"An interview with Vice President Kamala Harris, who has taken few questions from reporters since President Biden ended his re-election campaign last month, will be broadcast on CNN on Thursday night, in her first extended interview as the Democratic presidential nominee.",,,,,,
"Kamala Harris and McDonald?™s: A College Job, and a Trump Attack",2024-10-20T14:23:56+0000,"Birtherism, meet burgerism.",,,,,,
How Kamala Harris Performs Against Donald Trump in the Polls,2024-07-21T19:42:24+0000,"After President Biden ended his re-election bid and endorsed Vice President Kamala Harris for the Democratic Party?™s nomination, questions have turned to her electoral viability ??and how she might perform against former President Donald J. Trump.",,,,,,
Elizabeth Warren: What Donald Trump Isn?™t Telling Us,2024-09-14T11:00:26+0000,"During the presidential debate on Tuesday, Donald Trump was pressed on the details of his plan to repeal Obamacare and replace it with something ?œbetter.??The question should?™ve been a softball. After all, Mr. Trump has been promising the American people a plan for nine years, so he?™s had time to prepare. His answer? After ducking and weaving, he came up with: ?œI have concepts of a plan.??Uh, that?™s not a plan.",,,,,,
Quotation of the Day: Extraordinarily Ordinary: Walz?™s Path to Prominence,2024-08-08T02:58:40+0000,?œIt?™s not every day that your neighbor becomes a vice-presidential candidate.??,,,,,,
Harris Ad to Showcase Support of Liz Cheney and Other Republicans,2024-10-04T19:54:08+0000,"Vice President Kamala Harris?™s campaign will air a new ad in battleground states featuring endorsements from a retired general, former members of the Trump administration and former Representative Liz Cheney.",,,,,,
Assessing Trump?™s and Harris?™s Attacks on Each Other,2024-08-17T09:02:13+0000,"In the weeks since Vice President Kamala Harris ascended to the top of the Democratic ticket, she and former President Donald J. Trump have each sought to portray the other as extreme and unfit for office.",,,,,,
Liz Cheney Suggests a New Political Party May Be Needed,2024-09-21T17:35:00+0000,"Former Representative Liz Cheney, who has emerged as perhaps the most vocal and visible conservative critic of former President Donald J. Trump, suggested on Friday night that a new political party might need to be created to replace the Republican Party if he is defeated.",,,,,,
The Embattled Biden Campaign Tests Kamala Harris?™s Strength vs. Trump,2024-07-11T16:11:35+0000,,,,,,,
"With Harris, Georgia Democrats Say They See a ?˜Fighting Chance??,2024-07-30T17:29:34+0000,President Biden was struggling in Georgia even before the disastrous debate performance last month that ultimately led him to end his re-election bid. Four years ago", he was the first Democrat to win the state in nearly three decades ??a narrow but momentous victory fueled by a diverse coalition of voters. This time around, though, support had dissipated," as had hopes of a repeat.""",,,,
Kamala Harris and ?˜Coach Walz??Ease Into Their New Partnership,2024-08-07T02:47:25+0000,"?œWow,??Tim Walz kept saying, his face spread in amazement. ?œWow.??
A Swing in Momentum,2024-08-09T09:51:11+0000,Everything seems different now.
Do You Have to Let the National Guard Search Your Bag on the Subway?,2024-03-08T00:11:04+0000,Soon after Gov. Kathy Hochul announced she would be deploying hundreds of members of the National Guard and state police to help conduct bag checks in the New York City subway system"," questions began to emerge about how the plan would work.""",,,,,
"Oprah, Football and Freedom: Highlights From the Democratic Convention",2024-08-22T07:01:11+0000,"It was a night of former presidents and would-be presidents, and the prime-time debut of Gov. Tim Walz, who was cheered by members of the high school football team he once coached. Democrats on Day 3 of their national convention also celebrated Minnesota, the home state of Mr. Walz, with a special tribute to the artist once known as Prince, and an appearance by Senator Amy Klobuchar.",,,,,,
?˜Saturday Night Live??Feasts on the Bounty of the State of the Union,2024-03-10T09:20:31+0000,"It was inevitable that ?œSaturday Night Live??would sample heavily from the buffet of satirical potential offered by Thursday?™s State of the Union. Perhaps the only question going into this weekend?™s broadcast, hosted by Josh Brolin and featuring the musical guest Ariana Grande, was who would play Senator Katie Britt of Alabama, who delivered the much-discussed Republican response to President Biden?™s speech.",,,,,,
Late Night Reacts to Biden?™s ?˜Garbage??Remark,2024-10-31T06:15:58+0000,"Welcome to Best of Late Night, a rundown of the previous night?™s highlights that lets you sleep ??and lets us get paid to watch comedy. Here are the 50 best movies on Netflix right now.",,,,,,
Biden Campaign Sharpens Its Post-Roe Message: Abortion Is About Freedom,2024-01-20T14:53:22+0000,"President Biden and Vice President Kamala Harris will headline events next week centered around protecting abortion rights, throwing more heft behind an issue that has galvanized voters in the 18 months since the Supreme Court struck down Roe v. Wade.",,,,,,
"The Job Market Is Chugging Along, Completing a Solid Economic Picture",2024-10-04T14:19:40+0000,"For months, the economy has been like a jigsaw with one mismatched piece: Consumer spending has been holding up and overall growth has been solid, but the job market has looked treacherously wobbly.",,,,,,
Strike on Hezbollah Deepens Disconnect Between Biden and Netanyahu,2024-09-28T16:51:27+0000,"No one inside the White House was crying for Hassan Nasrallah on Saturday. But the Israeli strike that killed Mr. Nasrallah, the longtime leader of Hezbollah, once again deepened tensions between President Biden?™s administration and Prime Minister Benjamin Netanyahu?™s government.",,,,,,
"Trump Says That if He Loses, ?˜the Jewish People Would Have a Lot to Do??With It",2024-09-20T01:49:08+0000,"Former President Donald J. Trump, speaking on Thursday at a campaign event in Washington centered on denouncing antisemitism in America, said that ?œif I don?™t win this election,??then ?œthe Jewish people would have a lot to do with a loss.??
The Deep Conflict Between Our Work and Parenting Ideals,2024-03-22T09:05:06+0000,American policy is uniquely hostile to families. Other wealthy countries guarantee paid parental leave and sick days and heavily subsidize early childhood care ??to the tune of about $14",000 per year per child, on average. (The United States, by contrast, spends around $500 per child per year.) So it?™s no wonder our birthrate has been in decline," with many people saying they?™re having fewer children than they would like.""",
Biden vs. His Party,2024-07-17T10:33:52+0000,"What happens when a politician?™s interest diverges from his party?™s interests? That?™s the question facing the Democratic Party, and it is the subject of today?™s newsletter.",,,,,,
A New Campaign Against Loneliness Starts With a Potluck,2024-11-12T10:05:29+0000,"I have never seen a guest show up to a potluck dinner in the service dress of a vice admiral. And until last month, Surgeon General Vivek H. Murthy had never worn his uniform to one.",,,,,,
Legal Watchdog Group Warns Pro-Trump Lawyers Against Subverting Democracy in November,2024-09-19T14:00:06+0000,"After the 2020 election, legal watchdogs, outraged at some of their colleagues, filed scores of ethics complaints against lawyers who used their skills in questionable ways to help former President Donald J. Trump stay in power.",,,,,,
Why the Oil and Gas Industry Is So Afraid of Kamala Harris,2024-10-21T11:37:05+0000,"When Donald Trump invited about 20 prominent oil and gas executives to dine with him at Mar-a-Lago in April, he made a breathtakingly corrupt proposal: If they raised a billion dollars to help him retake the White House, he would roll back any policy they didn?™t like when he took office. Several fossil fuel companies and their executives have since answered his call with brio, becoming among the top donors to the Trump campaign and Trump-aligned super PACs.",,,,,,
Big Energy Issue in Pennsylvania Is Low Natural Gas Prices. Not Fracking.,2024-09-16T09:03:15+0000,"For much of the American shale boom of the last two decades, natural gas producers found that the more they pumped, the more demand grew, as cheaper gas displaced coal.",,,,,,
Elon Musk Is Positioning X Behind the New Trump Presidency,2024-11-09T10:04:24+0000,"Since Donald J. Trump won the presidential election, Elon Musk has gone all in on X to promote the incoming administration.",,,,,,
Trump?™s Plan for Attacking Tim Walz: Paint Him as a Bernie Sanders Liberal,2024-08-06T19:57:36+0000,The Trump team was all set for Josh Shapiro.,,,,,,
A Surge in Breast Reductions,2024-09-20T10:48:12+0000,"Fashion is cyclical, and so are fashionable body types. Katharine Hepburn gave way to Marilyn Monroe, who gave way to Twiggy. Madonna was overtaken by Kate Moss. Then Kardashian voluptuousness blew up heroin chic. But when Stella Bugbee, the editor of the Times?™s Styles section, pointed me to data showing a 64 percent surge in elective breast-reduction surgeries since 2019, we both knew this was more than a fad.",,,,,,
Business Leaders and the Election,2024-11-03T16:00:10+0000,To the Editor:,,,,,,
A Photographer?™s Deep Dive Into Murky Waters,2024-08-21T07:00:07+0000,"When most photographers head out into the field, they pack the essentials: camera lenses, external hard drives, battery chargers, a portable light source.",,,,,,
?˜Overjoyed.???˜Desperate.???˜Too Late.??Democrats React to Biden?™s Exit,2024-07-21T23:45:04+0000,"For Democratic voters who have spent much of the summer brooding about President Biden?™s fitness for office, his decision on Sunday not to seek re-election came as a  relief. Now, they figured, their political party might stand a chance in November ??though many still expressed deep doubts.",,,,,,
The Fed?™s Big Rate Cut Wasn?™t Political. It Was an Economic No-Brainer.,2024-09-19T19:03:29+0000,"In one sense, you could say that Wednesday?™s decision by the Federal Reserve to cut rates was of minimal importance. The interest rate the Fed more or less directly controls ??the federal funds rate ??is the rate at which banks lend one another money overnight. And it?™s hard to think of any businesses or consumers who will change their plans because the annualized interest rate on one-day borrowing has fallen a half a percentage point, from around 5.5 percent to around 5 percent ??which means that if you borrow $1,000, your repayment the next day falls by 1.4 cents.",,,,,,
New Thanksgiving Classics,2024-11-24T12:47:53+0000,"The menus are being planned, grocery lists made, details finalized ??it?™s nearly go time for Thanksgiving, a time for epic feasting and the one day of the year on which even the most reluctant home cooks wander into the kitchen. Are you ready?",,,,,,
Donald Trump Jr. Piles On With Racist Comments About Haitians,2024-09-14T17:54:50+0000,"Amid fallout from Donald J. Trump?™s debunked claim about immigrants from Haiti stealing and eating people?™s pets in a small Ohio city, the former president?™s oldest son weighed in with his own aspersions on Haitians.",,,,,,
Harris and Trump Bet on Their Own Sharply Contrasting Views of America,2024-09-11T14:08:12+0000,"Donald J. Trump?™s America is a grim place, a nation awash in marauding immigrants stealing American jobs and eating American cats and dogs, a country devastated economically, humiliated internationally and perched on the cliff?™s edge of an apocalyptic World War III.",,,,,,
The Polls Are Close. The Results Might Not Be.,2024-11-05T02:55:00+0000,These two things are true about the presidential race: The polls currently show Vice President Kamala Harris and former President Donald J. Trump effectively tied. And close polls do not necessarily mean there will be a close result.,,,,,,
What Polls Are Telling Us as Democrats Convene in Chicago,2024-08-20T09:03:24+0000,"At the Democratic National Convention this week, Kamala Harris faces a challenge. She must understand and speak to voter concerns on major issues like the economy without being downbeat. She must highlight her experience as President Biden?™s right-hand woman without aiding Republicans in their efforts to link her to voter frustrations with Mr. Biden?™s presidency.",,,,,,
Autocracies Against Ukraine,2024-10-25T10:22:13+0000,"The 3,000 North Korean troops boarded ships in the port city of Wonsan earlier this month and made the journey up the coast to Vladivostok, in Russia?™s southeastern corner. From there, they moved to three military training sites in Russia?™s Far East, according to U.S. officials. Ukrainian officials say that the troops have since traveled west to fight against Ukraine.",,,,,,
"?˜Everything Is Politicized?? Chris Christie on Trump, Harris and Hurricane Lies",2024-10-11T09:05:59+0000,"Frank Bruni, a contributing Opinion writer, talked by Zoom on Wednesday afternoon with Chris Christie, who was the Republican governor of New Jersey when Hurricane Sandy hit that state in 2012, about the differences between the political climate then and the one surrounding the devastation of Hurricanes Helene and Milton. Their conversation has been condensed and edited.",,,,,,
Kamala Harris and the Race for Congress,2024-07-29T10:39:18+0000,"With President Biden out of the 2024 race, Democrats aren?™t just hoping to win the presidency. They also believe they have a better chance to take the House of Representatives and keep the Senate.",,,,,,
"30 Chefs Open Up About Tipping, Gen Z Cooks and You the Customer",2024-02-27T10:02:30+0000,What do chefs actually think about what it?™s like to run a restaurant today? What do they say when they?™re being absolutely candid about the job?,,,,,,
"Harris, at the Border, Shows Democrats??Hard-Line Evolution on Immigration",2024-09-28T01:42:38+0000,"On her first trip to the southern border as the Democratic presidential nominee, Vice President Kamala Harris delivered one of her party?™s toughest speeches on immigration and border policy in a generation. Even as she did, she tried to paint former President Donald J. Trump as a feckless chaos agent without the ability to deliver the hard-line results he has promised.",,,,,,
